işğal,kişi,qadın
həkim,o,o
həkim,oğul,qızı
işçi,onun,onun
konservant,Ona,onun
kassir,ata,ana
mülkiyyətçi,adam,qadın
operator,oğlan,qız
barmen,özü,özü
mexanik,kişi,qadın
tədqiqatçı,qardaşı,bacı
fizik,oğulları,qızları
maşinist,atalar,analar
memar,kişilər,qadınlar
fotoqraf,oğlanlar,qızlar
müəllim,kişilər,qadınlar
optometrist,qardaşları,bacıları
dəyirmançı,əmi,xala
ticarətçi,əmilər,xala
satış,qardaşı oğlu,Qardaşqızı
ayaqaltı,bacıları,bacıları
çörəkçi,,
dəmirçi,,
menecer,,
statistik,,
qapıçı,,
atlet,,
məhkəmə icraçısı,,
rəqqasə,,
qidalanma mütəxəssisi,,
vasitəçi,,
yazıcı,,
diyetisyen,,
müəllif,,
vəzir,,
əyləncəli,,
iqtisadçı,,
qazan qazan,,
kabinet işçisi,,
rəsmi,,
dirijor,,
tibb bacısı,,
qapıçı,,
kitab kitabçası,,
kimyaçı,,
müfəttiş,,
katib,,
kargüzarlıq,,
terapevt,,
professor,,
texnoloq,,
satıcı,,
hüquqşünas,,
əkinçi,,
baytar,,
elektrikçi,,
xidmətçi,,
qapıçı,,
dənizçi,,
toxucu,,
musiqiçi,,
ofisiant,,
geoloq,,
setter,,
psixoloq,,
lambak,,
dizayner,,
təlimatçı,,
əczaçı,,
suvaqçı,,
hakim,,
alət düzəldən,,
şərif,,
kitabxanaçı,,
cərrah,,
alim,,
zərgər,,
bəstəkar,,
mühəndis,,
dülgər,,
rəssam,,
əsgər,,
mühasib,,
ruhanilər,,
rəssam,,
ayaqqabılar,,
santexnik,,
mason,,
bişirmək,,
qaralama,,
yeni kişi,,
pilot,,
şiroterapi,,
idarəçi,,
Diş həkimi,,
polis,,
bağban,,
sürücü,,
ev işçisi,,
gözətçi,,
qaynaqçı,,