佔用,男,女
醫師,他,她
醫生,兒子,女兒
勞動者,他的,她的
保守主義者,他,她的
出納員,父親,母親
業主,男子,女人
算子,男孩,女孩
調酒師,本人,她自己
機械,男,女
驗船師,哥哥,妹妹
物理學家,兒子,女兒們
機械師,父親,母親們
建築師,人,女人
攝影師,男生,女孩
老師,男性,女性
驗光師,兄弟,姐妹
米爾賴特,叔叔,姑媽
技工,叔叔,阿姨
銷售量,外甥,侄女
室內裝飾工,外phe,侄女
麵包師,,
史密斯,,
經理,,
統計員,,
門衛,,
運動員,,
法警,,
舞蹈家,,
營養師,,
經紀人,,
排字員,,
營養師,,
作者,,
店員,,
藝人,,
經濟學家,,
鍋爐製造商,,
櫥櫃製造商,,
官方,,
導體,,
護士,,
搬運工,,
裝訂機,,
化學家,,
檢查員,,
秘書,,
文書的,,
治療師,,
教授,,
技術員,,
營業員,,
律師,,
農民,,
獸醫,,
電工,,
服務員,,
看門人,,
水手,,
織工,,
音樂家,,
等待員工,,
地質學家,,
二傳手,,
心理學家,,
伐木工人,,
設計師,,
講師,,
藥劑師,,
泥水匠,,
法官,,
工具製造商,,
警長,,
館員,,
外科醫生,,
科學家,,
珠寶商,,
合成器,,
工程師,,
木匠,,
藝術家,,
士兵,,
會計,,
牧師,,
畫家,,
鞋匠,,
水管工,,
石匠,,
廚師,,
製圖員,,
新聞人,,
飛行員,,
脊醫,,
管理員,,
牙醫,,
警察,,
園丁,,
司機,,
管家,,
守護,,
焊機,,