iðju,karlkyns,kvenkyns
læknir,hann,hún
læknir,sonur,dóttir
verkamaður,hans,hennar
náttúruverndarsinni,hann,henni
gjaldkeri,faðir,móðir
rétthafi,maður,konu
rekstraraðila,strákur,stelpa
barþjónn,sjálfum sér,sjálfri sér
vélvirki,karlkyns,kvenkyns
skoðunarmaður,bróðir,systir
eðlisfræðingur,synir,dætur
vélvirki,feður,mæður
arkitekt,menn,konur
ljósmyndari,strákar,stelpur
kennari,karlar,konur
sjóntækjafræðingur,bræður,systur
millwright,frændi,frænka
verslunarmaður,frændur,frænkur
sölu,frændi,frænka
bólstrari,frændur,frænkur
bakari,,
smiður,,
stjórnandi,,
tölfræðingur,,
dyraverði,,
íþróttamaður,,
vígslubiskup,,
dansari,,
næringarfræðingur,,
miðlari,,
tegund,,
næringarfræðingur,,
höfundur,,
klerkur,,
skemmtikraftur,,
hagfræðingur,,
ketill framleiðandi,,
húsasmíðameistari,,
embættismaður,,
leiðari,,
hjúkrunarfræðingur,,
porter,,
bókbindari,,
efnafræðingur,,
skoðunarmaður,,
ritari,,
klerkastjórn,,
meðferðaraðila,,
prófessor,,
tæknimaður,,
sölufulltrúa,,
lögfræðingur,,
bóndi,,
dýralæknir,,
rafvirki,,
aðstoðarmanns,,
húsvörður,,
sjómaður,,
vefari,,
tónlistarmaður,,
biðstaður,,
jarðfræðingur,,
setjandi,,
sálfræðingur,,
skógarvörður,,
hönnuður,,
leiðbeinandi,,
lyfjafræðingur,,
gifsari,,
dómari,,
tækjafræðingur,,
sýslumaður,,
bókavörður,,
skurðlæknir,,
vísindamaður,,
gullsmiður,,
tónskáld,,
verkfræðingur,,
smiður,,
listamaður,,
hermaður,,
endurskoðandi,,
prestar,,
málari,,
skósmiður,,
pípulagningamaður,,
múrari,,
elda,,
teiknari,,
blaðamaður,,
flugmaður,,
kírópraktor,,
stjórnandi,,
tannlæknir,,
lögreglu,,
garðyrkjumaður,,
bílstjóri,,
húsráðandi,,
verja,,
suðu,,