មុខរបរ,បុរស,ស្រី
គ្រូពេទ្យ,គាត់,នាង
វេជ្ជបណ្ឌិត,កូនប្រុស,កូនស្រី
កម្មករ,របស់គាត់,នាង
អ្នកអភិរក្ស,គាត់,នាង
អ្នកគិតលុយ,ឪពុក,ម្តាយ
កម្មសិទ្ធិបញ្ញា,បុរស,ស្ត្រី
ប្រតិបត្តិករ,ក្មេងប្រុស,ក្មេងស្រី
ស្រាក្រឡុក,ខ្លួនគាត់ផ្ទាល់,ខ្លួននាងផ្ទាល់
មេកានិច,បុរស,ស្រី
អ្នកស្ទង់មតិ,បងប្អូន,បងស្រី
រូបវិទូ,កូនប្រុស,កូនស្រី
វិស្វករ,ឪពុក,ម្តាយ
ស្ថាបត្យករ,បុរស,ស្ត្រី
អ្នកថតរូប,ក្មេងប្រុស,ក្មេងស្រី
គ្រូ,បុរស,ស្រី
គ្រូពេទ្យភ្នែក,បងប្អូន,បងប្អូនស្រី
រោងម៉ាស៊ីនកិនស្រូវ,ពូ,មីង
ពាណិជ្ជករ,ពូ,មីង
ការលក់,ក្មួយប្រុស,ក្មួយស្រី
upholsterer,ក្មួយប្រុស,ក្មួយស្រី
អ្នកដុតនំ,,
ស្មីត,,
អ្នកគ្រប់គ្រង,,
អ្នកស្ថិតិ,,
អ្នកយាមទ្វារ,,
អត្តពលិក,,
អាជ្ញាសាលា,,
អ្នករាំ,,
អាហារូបត្ថម្ភ,,
ឈ្មួញកណ្តាល,,
typesetter,,
អ្នកឯកទេសខាងចំណីអាហារ,,
អ្នកនិពន្ធ,,
ស្មៀន,,
អ្នកកំសាន្ត,,
សេដ្ឋវិទូ,,
boilermaker,,
អ្នកធ្វើនំ,,
ជាផ្លូវការ,,
ចំហាយ,,
គិលានុបដ្ឋាយិកា,,
អ្នកយួរ,,
សៀវភៅសៀវភៅ,,
គីមីវិទ្យា,,
អ្នកត្រួតពិនិត្យ,,
លេខាធិការ,,
ស្មៀន,,
អ្នកព្យាបាលរោគ,,
សាស្រ្តាចារ្យ,,
អ្នកបច្ចេកទេស,,
អ្នកលក់,,
មេធាវី,,
កសិករ,,
ពេទ្យសត្វ,,
ជាង​អគ្គីស​នី,,
អ្នកជួយ,,
អ្នកយាមគុក,,
នាវិក,,
តម្បាញ,,
តន្ត្រីករ,,
តុរប្យួរ,,
ភូគព្ភវិទូ,,
អ្នកកំណត់,,
ចិត្តវិទូ,,
lumberjack,,
អ្នករចនា,,
គ្រូ,,
ឱសថការី,,
អ្នកធ្វើផែនការ,,
ចៅក្រម,,
អ្នកបង្កើតឧបករណ៍,,
សេក,,
បណ្ណារក្ស,,
គ្រូពេទ្យវះកាត់,,
អ្នកវិទ្យាសាស្រ្ត,,
គ្រឿងអលង្ការ,,
សមាសធាតុ,,
វិស្វករ,,
ជាងឈើ,,
សិល្បករ,,
ទាហាន,,
គណនេយ្យករ,,
បព្វជិត,,
វិចិត្រករ,,
អ្នកផលិតស្បែកជើង,,
ជាងកាត់ដេរ,,
Mason,,
ចំអិន,,
អ្នកធ្វើសេចក្តីព្រាង,,
អ្នកយកព័ត៌មាន,,
សាកល្បង,,
chiropractor,,
អ្នកគ្រប់គ្រង,,
ពេទ្យធ្មេញ,,
ប៉ូលីស,,
អ្នកថែសួន,,
អ្នកបើកបរ,,
អ្នកថែរក្សាផ្ទះ,,
យាម,,
welder,,