sinet,nêrî,mê
bijîjkî,ew,wê
pizişk,kur,keç
kedkar,bûyin,wê
muhafezekar,wî,ew
diravgir,bav,dê
xwedanxanî,mêr,jin
telefonvan,xort,keç
karkerê barê,xwe,xwe
mekanîker,nêrî,mê
anketkar,Brak,xwişk
fîzîknas,kurên,keçan
makînevan,bavên,dayîk
mîmar,mê,jinan
wênesaz,kuran,keçan
mamoste,mêr,mê
optometrist,birano,xwişk
mîllî,mam,xaltî
bazirganî,dapîr,xûşk
firotanê,birazê,birazê
upholsterer,biraz,nêçîr
birajtevan,,
smith,,
rêvebir,,
statîstîk,,
doorkeeper,,
pêhlewan,,
xulama dadgehê,,
bazdanvan,,
nivînîst,,
simsar,,
cûrbecûr,,
dietician,,
nivîskar,,
karkerê koşkê,,
entertainer,,
ekonomîst,,
kumkar,,
kabîneyê,,
fermî,,
serek,,
nexweşyare,,
bîlêtner,,
pirtûkfiroş,,
şîmyazan,,
beçavker,,
sekreter,,
klerîkî,,
terapîst,,
profesor,,
teknîker,,
firoşkar,,
parêzkar,,
gûndî,,
pizişka terşan,,
elektronîk,,
rêheval,,
sûxrekar,,
deryavan,,
weaver,,
mûsîqevan,,
bendewar,,
jeolojî,,
setter,,
psîkologî,,
çerxa darê,,
şikilda,,
dersda,,
dermanvan,,
plasterer,,
dadmend,,
amûrên çêker,,
sherif,,
pirtûkxanevan,,
emelîkar,,
zanistvan,,
cewherfiroş,,
berhevkar,,
hendese,,
necar,,
Hunermend,,
leşker,,
hesabdar,,
olvanî,,
wênekar,,
shoemaker,,
lûlekar,,
mason,,
aşbaz,,
pêşnumayîn,,
rojnameger,,
pîlot,,
chiropractor,,
birêvebir,,
pizişka didanan,,
pûlis,,
baxçevan,,
ajotvan,,
xanî,,
nobetgir,,
welder,,