ocupaţie,masculin,Femeie
medic,el,ea
doctor,fiu,fiică
muncitor,a lui,al ei
conservator,-l,a ei
casier,Tată,mamă
proprietar,om,femeie
operator,băiat,fată
barman,se,se
mecanic,masculin,Femeie
inspector,frate,soră
fizician,fii,fiice
maşinist,tați,mame
arhitect,bărbați,femei
fotograf,băieți,fete
profesor,masculi,femele
optometrist,frați,surori
millwright,unchi,mătuşă
tradesperson,unchii,mătuşile
vânzări,nepot,nepoată
tapiţer,nepoti,nepoatele
brutar,,
fierar,,
administrator,,
statistician,,
portar,,
atlet,,
vechil,,
dansator,,
nutritionist,,
agent,,
typesetter,,
dietetician,,
autor,,
funcționar,,
animatoare,,
economist,,
boilere,,
tîmplar,,
oficial,,
conductor,,
asistent medical,,
porter,,
legător,,
chimist,,
inspector,,
secretar,,
clerical,,
terapeut,,
Profesor,,
tehnician,,
agent de vânzări,,
avocat,,
agricultor,,
medic veterinar,,
electrician,,
însoţitor,,
portar,,
marinar,,
ţesător,,
muzician,,
waitstaff,,
geolog,,
prepelicar,,
psiholog,,
tăietor de lemne,,
proiectant,,
instructor,,
farmacist,,
tencuitor,,
judecător,,
sculer,,
şerif,,
bibliotecar,,
chirurg,,
om de stiinta,,
bijutier,,
tipograf,,
inginer,,
tâmplar,,
artist,,
soldat,,
contabil,,
cler,,
pictor,,
cizmar,,
instalator,,
zidar,,
bucătar,,
Raportor pentru aviz,,
newsperson,,
pilot,,
chiropractician,,
administrator,,
dentist,,
politie,,
grădinar,,
conducător auto,,
menajeră,,
pază,,
sudor,,