род занятий,мужской,женщина
врач,он,она
доктор,сын,дочь
рабочий,его,ее
защитник природы,ему,ее
касса,отец,мама
собственник,человек,женщина
оператор,мальчик,девушка
бармен,сам,сама
механик,мужской,женщина
геодезист,родной брат,сестра
физик,сыновья,дочери
машинист,отцы,матери
архитектор,мужчины,женщины
фотограф,мальчиков,девочки
учитель,мужчины,женщины
оптик,братья,сестры
монтажник,дядя,тетя
tradesperson,дядья,тетки
продажи,племянник,племянница
драпировщик,племянники,племянницы
пекарь,,
кузнец,,
менеджер,,
статистик,,
привратник,,
спортсмен,,
судебный пристав,,
танцор,,
диетолог,,
маклер,,
наборная машина,,
диетврач,,
автор,,
клерк,,
конферансье,,
экономист,,
котельщик,,
столяр,,
официальный,,
проводник,,
медсестра,,
портье,,
переплетчик,,
химик,,
инспектор,,
секретарь,,
конторский,,
Терапевт,,
профессор,,
техник,,
продавец,,
юрист,,
фермер,,
ветеринар,,
электрик,,
служитель,,
дворник,,
матрос,,
ткачиха,,
музыкант,,
подождите персонал,,
геолог,,
сеттер,,
психолог,,
лесоруб,,
дизайнер,,
инструктор,,
фармацевт,,
штукатур,,
судья,,
инструментальщик,,
шериф,,
библиотекарь,,
хирург,,
ученый,,
ювелир,,
наборщик,,
инженер,,
столяр,,
художник,,
солдат,,
бухгалтер,,
духовенство,,
художник,,
сапожник,,
водопроводчик,,
каменщик,,
готовить пищу,,
draftsperson,,
newsperson,,
пилот,,
мануальный терапевт,,
администратор,,
зубной врач,,
полиция,,
садовник,,
Водитель,,
экономка,,
охрана,,
сварщик,,