රැකියාව,පිරිමි,ගැහැණු
වෛද්‍යවරයා,ඔහු,ඇය
වෛද්‍යවරයා,පුතා,දියණිය
කම්කරුවා,ඔහුගේ,ඇය
සංරක්‍ෂක,ඔහුව,ඇය
මුදල් අයකැමි,පියා,මව
හිමිකරු,මිනිසා,කාන්තාවක්
ක්රියාකරු,කොල්ලා,කෙල්ල
බාර්ඩෙන්ඩර්,තමාම,ඇය
කාර්මික,පිරිමි,ගැහැණු
මිනින්දෝරු,සහෝදරයා,සහෝදරිය
භෞතික විද්‍යා ist,පුතුන්,දියණියන්
යන්ත්‍රෝපකරණ,පියවරුන්,මව්වරු
ගෘහ නිර්මාණ ශිල්පියා,මිනිසුන්,කාන්තා
ඡායාරූප ශිල්පී,පිරිමි ළමයි,ගැහැණු ළමයින්
ගුරු,පිරිමි,ගැහැණු
අක්ෂි වෛද්‍යවරයා,සහෝදරයන්,සහෝදරියන්
ඇඹරුම් රයිට්,මාමා,නැන්දා
වෙළෙන්දා,බාප්පා,නැන්දා
අලෙවි,බෑණා,ලේලි
upholsterer,hew ාති පුත්‍රයන්,ලේලි
බේකර්,,
ස්මිත්,,
කළමනාකරු,,
සංඛ්‍යාන ian යා,,
දොරටු පාලකයා,,
මලල ක්රීඩකයා,,
ඇපකරු,,
නර්තන ශිල්පිනිය,,
පෝෂණවේදියෙක්,,
තැරැව්කරු,,
යතුරු ලියනය,,
ආහාරවේදියෙක්,,
කර්තෘ,,
ලිපිකරු,,
විනෝදාස්වාදය සපයන්නා,,
ආර්ථික විද්‍යා ist,,
බොයිලේරු සාදන්නා,,
කැබිනට් සාදන්නා,,
නිල,,
කොන්දොස්තර,,
හෙදිය,,
පෝටර්,,
පොත් බින්ඩරය,,
රසායන mist,,
පරීක්ෂක,,
ලේකම්,,
ලිපිකරු,,
චිකිත්සක,,
මහාචාර්ය,,
කාර්මික ශිල්පියා,,
විකුණුම්කරු,,
නීතිඥයා,,
ගොවියා,,
පශු වෛද්ය,,
විදුලි කාර්මිකයා,,
සහායක,,
මුරකරු,,
නාවිකයා,,
පේෂකර්මාන්තය,,
සංගීත ian,,
වේටර් කාර්ය මණ්ඩලය,,
භූ විද්‍යා ologist,,
setter,,
මනෝ විද්‍යා ologist,,
ලම්බර්ජැක්,,
නිර්මාණකරු,,
උපදේශක,,
pharmacist ෂධවේදියෙක්,,
ප්ලාස්ටර්,,
විනිසුරු,,
මෙවලම් සාදන්නා,,
ෂෙරිෆ්,,
පුස්තකාලයාධිපති,,
ශල්‍ය වෛද්‍ය,,
විද්‍යා ist,,
ස්වර්ණාභරණ,,
නිර්මාපකය,,
ඉංජිනේරු,,
වඩු කාර්මිකයා,,
කලාකරු,,
සොල්දාදුවා,,
ගණකාධිකාරී,,
පූජ්‍ය පක්ෂය,,
චිත්‍ර ශිල්පියා,,
සපත්තු සාදන්නා,,
ජලනල,,
මේසන්,,
උයන්න,,
කෙටුම්පත්කරු,,
පුවත්පත්,,
නියමුවා,,
චිරොක්ට්‍රැක්ටර්,,
පරිපාලක,,
දන්ත වෛද්‍ය,,
පොලිසිය,,
උයන්,,
රියදුරු,,
ගෘහ පාලිකාව,,
ආරක්ෂකයා,,
වෙල්ඩර්,,