ఆక్రమణ,పురుషుడు,స్త్రీ
వైద్యుడు,అతను,ఆమె
వైద్యుడు,కుమారుడు,కుమార్తె
కార్మికుడు,తన,ఆమె
పరిరక్షకుడు,అతనికి,ఆమె
క్యాషియర్,తండ్రి,తల్లి
ప్రొప్రైటర్,మనిషి,మహిళ
ఆపరేటర్లు,బాయ్,అమ్మాయి
మద్యం,తాను,ఆమె
మెకానిక్,పురుషుడు,స్త్రీ
సర్వేయర్,సోదరుడు,సోదరి
భౌతిక,కుమారులు,కుమార్తెలు
machinist,తండ్రులు,తల్లులు
వాస్తుశిల్పి,పురుషులు,మహిళలు
ఫోటోగ్రాఫర్,అబ్బాయిలు,అమ్మాయిలు
గురువు,మగ,ఆడ
కళ్ళద్దాల నిపుణుడు,సోదరులు,సోదరీమణులు
millwright,మామయ్య,అత్త
tradesperson,పినతండ్రులు,అత్తమామలు
అమ్మకాలు,మేనల్లుడు,మేనకోడలు
upholsterer,మేనల్లుళ్ళు,మేనకోడళ్ళు
బేకర్,,
స్మిత్,,
నిర్వాహకుడు,,
గణాంకశాస్త్ర,,
అతనికి ద్వారపాలకుడు తలుపు,,
అథ్లెట్,,
న్యాయాధికారి,,
నర్తకి,,
పౌష్టికాహార,,
మధ్యవర్తి,,
అచ్చులు కూర్చువాడు,,
నిపుణుడు,,
రచయిత,,
క్లర్క్,,
ఎంటర్టైనర్,,
ఆర్థికవేత్త,,
బాయిలర్ మేకర్,,
cabinetmaker,,
అధికారిక,,
కండక్టర్,,
నర్సు,,
కూలి,,
బుక్బైండర్,,
రసాయన శాస్త్రవేత్త,,
ఇన్స్పెక్టర్,,
కార్యదర్శి,,
క్లరికల్,,
వైద్యుడి,,
ప్రొఫెసర్,,
టెక్నీషియన్,,
విక్రేతను,,
న్యాయవాది,,
రైతు,,
పశువైద్యుడు,,
ఎలక్ట్రీషియన్,,
సహాయకురాలు,,
కాపలాదారు,,
నావికుడు,,
వీవర్,,
సంగీతకారుడు,,
waitstaff,,
భూగోళ శాస్త్రజ్ఞుడు,,
సెట్టర్,,
మనస్తత్వవేత్త,,
lumberjack,,
డిజైనర్,,
బోధకుడు,,
ఔషధ,,
plasterer,,
న్యాయమూర్తి,,
టూల్ మేకర్,,
షెరీఫ్,,
లైబ్రేరియన్,,
సర్జన్,,
శాస్త్రవేత్త,,
స్వర్ణకారుడు,,
కూర్చే,,
ఇంజనీర్,,
కార్పెంటర్,,
కళాకారుడు,,
సైనికుడు,,
అకౌంటెంట్,,
మతాధికారులు,,
చిత్రకారుడు,,
షూమేకర్,,
ప్లంబర్,,
మాసన్,,
కుక్,,
draftsperson,,
newsperson,,
పైలట్,,
చిరోప్రాక్టర్,,
నిర్వాహకుడు,,
దంతవైద్యుడు,,
పోలీసు,,
తోటమాలి,,
డ్రైవర్,,
ఇంటిలో,,
గార్డు,,
వెల్డర్గా,,