nghề nghiệp,Nam giới,giống cái
bác sĩ,anh ta,bà ấy
Bác sĩ,Con trai,Con gái
lao động,của anh ấy,của cô ấy
nhà bảo tồn,anh ta,cô ấy
thu ngân,bố,mẹ
chủ sở hữu,Đàn ông,đàn bà
nhà điều hành,con trai,con gái
nhân viên pha chế,bản thân anh ấy,chính cô ấy
thợ cơ khí,Nam giới,giống cái
kiểm soát viên,Anh trai,em gái
nhà vật lý,con trai,con gái
thợ máy,những người cha,các bà mẹ
kiến trúc sư,đàn ông,đàn bà
nhiếp ảnh gia,những cậu bé,cô gái
giáo viên,con đực,nữ
đo thị lực,anh em,chị em gái
millwright,Chú,cô
thương nhân,chú,các cô chú
bán hàng,cháu trai,cháu gái
bọc nệm,cháu trai,cháu gái
thợ làm bánh,,
thợ rèn,,
giám đốc,,
nhà thống kê,,
người giữ cửa,,
lực sĩ,,
bảo lãnh,,
vũ công,,
chuyên gia dinh dưỡng,,
môi giới,,
máy sắp chữ,,
chuyên gia dinh dưỡng,,
tác giả,,
nhân viên bán hàng,,
nghệ sĩ giải trí,,
nhà kinh tế,,
nồi hơi,,
thợ làm tủ,,
chính thức,,
Nhạc trưởng,,
y tá,,
khuân vác,,
đóng sách,,
nhà hóa học,,
thanh tra,,
Thư ký,,
văn thư,,
nhà trị liệu,,
Giáo sư,,
kỹ thuật viên,,
nhân viên bán hàng,,
luật sư,,
nông phu,,
bác sĩ thú y,,
thợ điện,,
tiếp viên,,
người gác cổng,,
thủy thủ,,
thợ dệt,,
nhạc sĩ,,
nhân viên phục vụ,,
nhà địa chất,,
setter,,
nhà tâm lý học,,
gỗ xẻ,,
nhà thiết kế,,
người hướng dẫn,,
dược sĩ,,
thạch cao,,
thẩm phán,,
người làm công cụ,,
cảnh sát trưởng,,
thủ thư,,
bác sĩ phẫu thuật,,
nhà khoa học,,
thợ kim hoàn,,
nhà soạn nhạc,,
kỹ sư,,
thợ mộc,,
họa sĩ,,
lính,,
viên kế toán,,
giáo sĩ,,
họa sĩ,,
thợ đóng giày,,
thợ sửa ống nước,,
thợ xây,,
nấu ăn,,
dự thảo,,
người làm báo,,
Phi công,,
chiropractor,,
người quản lý,,
bác sĩ nha khoa,,
cảnh sát,,
người làm vườn,,
người lái xe,,
Người quản gia,,
bảo vệ,,
thợ hàn,,